country,year,posterior_prob
United Kingdom,1971,0.316
United Kingdom,1972,0.528
United Kingdom,1973,0.022
United Kingdom,1974,0.032
United Kingdom,1975,0.114
United Kingdom,1976,0.188
United Kingdom,1977,0.814
United Kingdom,1978,0.068
United Kingdom,1979,0.026
United Kingdom,1980,0.022
United Kingdom,1981,0.078
United Kingdom,1982,0.374
United Kingdom,1983,0.59
United Kingdom,1984,0.122
United Kingdom,1985,0.786
United Kingdom,1986,0.24
United Kingdom,1987,0.63
United Kingdom,1988,0.498
United Kingdom,1989,0.22
United Kingdom,1990,0.078
United Kingdom,1991,0.092
United Kingdom,1992,0.09
United Kingdom,1993,0.03
United Kingdom,1994,0.064
United Kingdom,1995,0.672
United Kingdom,1996,0.222
United Kingdom,1997,0.048
United Kingdom,1998,0.098
United Kingdom,1999,0.042
United Kingdom,2000,0.024
United Kingdom,2001,0.052
United Kingdom,2002,0.036
United Kingdom,2003,0.046
United Kingdom,2004,0.038
United Kingdom,2005,0.042
United Kingdom,2006,0.03
United Kingdom,2007,0.244
United Kingdom,2008,0.686
United Kingdom,2009,0.068
United Kingdom,2010,0.038
United Kingdom,2011,0.022
United Kingdom,2012,0.032
United Kingdom,2013,0.054
United Kingdom,2014,0.132
United Kingdom,2015,0.104
United Kingdom,2016,0.036
United Kingdom,2017,0.022
United Kingdom,2018,0.026
United Kingdom,2019,1
United Kingdom,2020,0.082
United Kingdom,2021,NA
France,1971,0.644
France,1972,0.888
France,1973,0.022
France,1974,0.056
France,1975,0.968
France,1976,0.062
France,1977,0.514
France,1978,0.334
France,1979,0.182
France,1980,0.402
France,1981,0.176
France,1982,0.166
France,1983,0.176
France,1984,0.124
France,1985,0.632
France,1986,0.27
France,1987,0.76
France,1988,0.246
France,1989,0.472
France,1990,0.386
France,1991,0.292
France,1992,0.188
France,1993,0.146
France,1994,0.112
France,1995,0.052
France,1996,0.18
France,1997,0.64
France,1998,0.188
France,1999,0.18
France,2000,0.056
France,2001,0.016
France,2002,0.026
France,2003,0.02
France,2004,0.052
France,2005,0.038
France,2006,0.078
France,2007,0.834
France,2008,0.066
France,2009,0.036
France,2010,0.044
France,2011,0.026
France,2012,0.012
France,2013,0.022
France,2014,0.03
France,2015,0.012
France,2016,0.012
France,2017,0.03
France,2018,0.016
France,2019,1
France,2020,0.384
France,2021,NA
Germany,1971,0.212
Germany,1972,0.188
Germany,1973,0.058
Germany,1974,0.476
Germany,1975,0.226
Germany,1976,0.422
Germany,1977,0.822
Germany,1978,0.1
Germany,1979,0.056
Germany,1980,0.032
Germany,1981,0.034
Germany,1982,0.114
Germany,1983,0.304
Germany,1984,0.122
Germany,1985,0.532
Germany,1986,0.43
Germany,1987,0.248
Germany,1988,0.144
Germany,1989,0.716
Germany,1990,0.214
Germany,1991,0.25
Germany,1992,0.202
Germany,1993,0.09
Germany,1994,0.1
Germany,1995,0.146
Germany,1996,0.084
Germany,1997,0.104
Germany,1998,0.062
Germany,1999,0.036
Germany,2000,0.094
Germany,2001,0.11
Germany,2002,0.23
Germany,2003,0.106
Germany,2004,0.758
Germany,2005,0.088
Germany,2006,0.09
Germany,2007,0.034
Germany,2008,0.032
Germany,2009,0.028
Germany,2010,0.044
Germany,2011,0.048
Germany,2012,0.19
Germany,2013,0.316
Germany,2014,0.248
Germany,2015,0.124
Germany,2016,0.04
Germany,2017,0.024
Germany,2018,0.052
Germany,2019,0.772
Germany,2020,0.03
Germany,2021,NA
Luxembourg,1971,0.096
Luxembourg,1972,0.194
Luxembourg,1973,0.04
Luxembourg,1974,0.876
Luxembourg,1975,0.118
Luxembourg,1976,0.066
Luxembourg,1977,0.218
Luxembourg,1978,0.666
Luxembourg,1979,0.186
Luxembourg,1980,0.298
Luxembourg,1981,0.074
Luxembourg,1982,0.062
Luxembourg,1983,0.068
Luxembourg,1984,0.262
Luxembourg,1985,0.14
Luxembourg,1986,0.42
Luxembourg,1987,0.158
Luxembourg,1988,0.496
Luxembourg,1989,0.406
Luxembourg,1990,0.652
Luxembourg,1991,0.14
Luxembourg,1992,0.048
Luxembourg,1993,0.024
Luxembourg,1994,0.008
